case_id,source_group_id,source_rows,split_group,query,provenance,generation_method,relationship,reviewer_id,review_round,intents,scope,goal,output,audience,metric,subject_selection,requested_effect,capability_id,decision,missing_context,labels_complete,reviewer_notes
base_2,source_row_2,2,source_row_2,What is the current CIO view on interest rates?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_3,source_row_3,3,source_row_3,Summarize the latest CIO capital market outlook.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_4,source_row_4,4,source_row_4,What changed in CIO guidance since last month?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_5,source_row_5,5,source_row_5,Prepare client-friendly talking points about CIO guidance on inflation.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_6,source_row_6,6,source_row_6,What is the CIO view on equities versus fixed income?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_7,source_row_7,7,source_row_7,List the most relevant CIO investment themes today.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_8,source_row_8,8,source_row_8,What is the CIO case for diversification?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_9,source_row_9,9,source_row_9,Explain the CIO view on international equities and currency risks.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_10,source_row_10,10,source_row_10,Find CIO guidance for retirement planning conversations.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_11,source_row_11,11,source_row_11,Describe the CIO outlook on private markets.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_12,source_row_12,12,source_row_12,Find current CIO guidance about cash and liquidity.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_13,source_row_13,13,source_row_13,What should I say about CIO guidance when investors ask about going to cash?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_14,source_row_14,14,source_row_14,Explain CIO duration positioning today.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_15,source_row_15,15,source_row_15,What risks does CIO highlight this quarter?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_16,source_row_16,16,source_row_16,Find CIO guidance relevant to concentrated positions.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_17,source_row_17,17,source_row_17,The market declined today. Explain what happened and draft talking points.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_18,source_row_18,18,source_row_18,How will the technology selloff impact my client book?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_19,source_row_19,19,source_row_19,Which clients are exposed to today's macro market moves?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_20,source_row_20,20,source_row_20,What CIO market themes should I discuss this morning?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_21,source_row_21,21,source_row_21,Where can I find analyst coverage and price targets with the research rationale?,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_22,source_row_22,22,source_row_22,Compare municipal bond laddering versus active bond management.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_23,source_row_23,23,source_row_23,Find the approved model portfolio referred to in a research article.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_24,source_row_24,24,source_row_24,Find asset classes whose returns are less correlated.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_25,source_row_25,25,source_row_25,Draft an email about recent volatility for this client.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_26,source_row_26,26,source_row_26,Prepare talking points for an afternoon client call.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_27,source_row_27,27,source_row_27,Simplify this explanation for a novice investor.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_28,source_row_28,28,source_row_28,Rewrite this paragraph as a more technical explanation.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_29,source_row_29,29,source_row_29,Write a one-paragraph market update for an email.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_30,source_row_30,30,source_row_30,Draft a follow-up email after a volatile week.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_31,source_row_31,31,source_row_31,Create a script for inbound calls about market movements.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_32,source_row_32,32,source_row_32,Turn an approved explanation into a voicemail script.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_33,source_row_33,33,source_row_33,Draft a client-friendly explanation about remaining invested.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_34,source_row_34,34,source_row_34,Draft a quarterly recap using approved CIO guidance.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_35,source_row_35,35,source_row_35,Create a message suitable for a tax-sensitive investor.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_36,source_row_36,36,source_row_36,Create a version for a very risk-averse investor.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_37,source_row_37,37,source_row_37,"Draft a follow-up email with a checklist of pros, cons and next steps.",rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
base_38,source_row_38,38,source_row_38,Convert CIO guidance into a client-facing paragraph.,rewritten_fixture,registry_author_rewrite,source_scenario_rewrite,,,,,,,,,,,,,,False,
